#AccessRule,user,domain,typeId,permission,principal,permissionList,state,parentDomainContainerPath
AccessRule,,/Default/CATLEcWf,com.CATLBattery.PartApplyPN,+,TeamMembers,/0/2/10,,
AccessRule,,/Default/CATLEcWf,com.CATLBattery.BomReviewPN,+,TeamMembers,/0/2/10,,
AccessRule,,/Default/CATLEcWf,com.CATLBattery.CATLChangeRequest,+,TeamMembers,/0/2/10,,
AccessRule,,/Default/CATLEcWf,com.CATLBattery.CATLChangeNotice,+,TeamMembers,/0/2/10,,
AccessRule,,/Default/CATLEcWf,com.CATLBattery.CATLChangeActivity2,+,TeamMembers,/0/2/10,,
AccessRule,,/Default/CATLDefault,com.CATLBattery.CATLPart,+,TeamMembers,/0/2/10,,
AccessRule,,/Default/CATLDefault,com.CATLBattery.autocadDrawing,+,TeamMembers,/0/2/10,,
AccessRule,,/Default/CATLDefault,wt.epm.EPMDocument,+,TeamMembers,/0/2/10,,
AccessRule,,/Default/CATLDefault,com.CATLBattery.autocadDrawing,+,TeamMembers,/7,RELEASED,
AccessRule,,/Default/CATLDefault,wt.epm.EPMDocument,+,TeamMembers,/7,RELEASED,
AccessRule,,/Default/CATLDefault,com.CATLBattery.CATLPart,+,TeamMembers,/7,RELEASED,
