#AccessRule,user,domain,typeId,permission,principal,permissionList,state,allExceptPrincipal
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|com.ptc.windchill.option.model.Choice,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|com.ptc.windchill.option.model.ChoiceRule,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|com.ptc.windchill.option.model.Group,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|com.ptc.windchill.option.model.Option,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|com.ptc.windchill.option.model.OptionSet,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.annotation.StructuredAnnotationSet,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.annotation.StructuredAnnotationSet,+,teamMembers,0/1/2/5/12/13/14,INWORK,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.change2.WTChangeActivity2|com.CATLBattery.CATLChangeActivity2,+,teamMembers,0/2/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.change2.WTChangeActivity2|com.CATLBattery.CATLDChangeActivity2,+,teamMembers,0/2/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.change2.WTChangeOrder2|com.CATLBattery.CATLChangeNotice,+,teamMembers,0/2/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.change2.WTChangeOrder2|com.CATLBattery.CATLDChangeNotice,+,teamMembers,0/2/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.change2.WTChangeRequest2|com.CATLBattery.CATLChangeRequest,+,teamMembers,0/2/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.change2.WTVariance,+,teamMembers,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.change2.WTVariance,+,teamMembers,0/1/2/10/11/13/16,OPEN,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.fc.WTObject,+,GUEST,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.fc.WTObject,+,PRODUCT MANAGER,-1,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.folder.Cabinet,+,GUEST,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.folder.Cabinet,+,teamMembers,0/1,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.folder.SubFolder,+,GUEST,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.folder.SubFolder,+,teamMembers,0/1,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.maturity.PromotionNotice|com.CATLBattery.BomReviewPN,+,teamMembers,0/2/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.maturity.PromotionNotice|com.CATLBattery.DisabledForDesignPN,+,teamMembers,0/2/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.maturity.PromotionNotice|com.CATLBattery.PartApplyPN,+,teamMembers,0/2/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.maturity.PromotionNotice|com.CATLBattery.UpgradeFaePartMaturityPN,+,teamMembers,0/2/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.meeting.actionitem.DiscreteActionItem,+,GUEST,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.meeting.actionitem.DiscreteActionItem,+,OWNER,1,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.meeting.actionitem.DiscreteActionItem,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTPartAlternateLink,+,teamMembers,0/1/2/5/12/13,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTPartSubstituteLink,+,teamMembers,0/1/2/5/12/13,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTProductConfiguration,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTProductConfiguration,+,teamMembers,0/1/2/5/12/13/14,INWORK,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTProductInstance2,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTProductInstance2,+,teamMembers,0/1/2/5/12/13/14,INWORK,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTProductInstance2,+,teamMembers,0/7,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.alternaterep.WTPartAlternateRep,+,teamMembers,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.alternaterep.WTPartAlternateRep,+,teamMembers,1/2/5/11/12/13/14,INWORK,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.alternaterep.WTPartAlternateRep,+,teamMembers,0/10,OBSOLESCENCE,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.alternaterep.WTPartAlternateRep,+,teamMembers,0/10,PROTOTYPE,false
