#AddPrincipalToRole,containerClass,containerName,role,principalNameOrDN,serviceName,useSharedTeam
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,项目经理,60001942,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,项目助理,60002485,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,市场代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,销售代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,质量代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,产品质量工程师,60000419,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,产品安全工程师,60006879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,可靠性工程师,60006879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,供应商质量管理工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,PMO,60001351,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,开发代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,系统工程师,60002488,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,系统工程师,60008792,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,EE系统工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,软件工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,硬件工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,元器件工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,线束工程师,60010441,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,线束工程师,60010504,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,结构工程师,60006005,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,结构工程师,60009664,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,结构工程师,60002653,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,结构工程师,60009662,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,认证工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,热管理&仿真工程师,60000176,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,测试工程师,60000394,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,电芯PM,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,产品数据工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,标准化工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,制造代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,工艺工程师,60010501,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,设备工程师,60001339,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,工业工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,计划控制专员,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,物料控制专员,60000879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,生产主管,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,采购代表,60003176,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,财务代表,60000907,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,成本工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,客服代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,商务专员,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,售后工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,产品经理,60000107,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,产品决策委员会,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,EE浏览者,EE组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,SE组浏览者,SE组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,测试组浏览者,测试组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,工艺组浏览者,工艺组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,结构组浏览者,结构组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,客服组浏览者,客服组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,热管理仿真组浏览者,热管理仿真组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,设备组浏览者,设备组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,线束组浏览者,线束组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,制造组浏览者,制造组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SWX,质量组浏览者,质量组,,
,,,,,,
,,,,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,项目经理,60000007,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,项目助理,60000302,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,市场代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,销售代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,质量代表,60000419,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,产品质量工程师,60000419,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,产品安全工程师,60006879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,可靠性工程师,60006879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,供应商质量管理工程师,60001861,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,PMO,60001351,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,开发代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,系统工程师,60002390,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,系统工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,EE系统工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,软件工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,硬件工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,元器件工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,线束工程师,60001072,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,结构工程师,60000434,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,结构工程师,60000470,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,认证工程师,60000394,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,热管理&仿真工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,测试工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,电芯PM,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,产品数据工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,标准化工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,制造代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,工艺工程师,60001405,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,工艺工程师,60010501,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,设备工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,工业工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,计划控制专员,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,物料控制专员,60000879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,生产主管,60000076,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,采购代表,60003176,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,采购代表,60001935,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,财务代表,60000492,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,成本工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,客服代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,商务专员,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,售后工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,产品经理,60000107,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,产品决策委员会,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,EE浏览者,EE组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,SE组浏览者,SE组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,测试组浏览者,测试组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,工艺组浏览者,工艺组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,结构组浏览者,结构组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,客服组浏览者,客服组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,热管理仿真组浏览者,热管理仿真组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,设备组浏览者,设备组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,线束组浏览者,线束组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,制造组浏览者,制造组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,CYG,质量组浏览者,质量组,,
,,,,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,项目经理,60000007,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,项目助理,60000302,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,市场代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,销售代表,60001991,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,质量代表,60000419,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,产品质量工程师,60000419,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,产品安全工程师,60002229,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,可靠性工程师,60002229,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,供应商质量管理工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,PMO,60001351,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,开发代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,系统工程师,60002488,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,EE系统工程师,60000154,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,软件工程师,60000442,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,硬件工程师,60000032,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,元器件工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,线束工程师,60001072,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,结构工程师,60003035,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,认证工程师,60000394,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,热管理&仿真工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,测试工程师,60007076,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,电芯PM,60002279,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,产品数据工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,标准化工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,制造代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,工艺工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,工艺工程师,60000340,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,设备工程师,60001339,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,设备工程师,60001336,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,工业工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,计划控制专员,60003187,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,物料控制专员,60000879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,生产主管,60000040,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,生产主管,60000076,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,采购代表,60003176,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,采购代表,60001935,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,财务代表,60000492,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,成本工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,客服代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,商务专员,60000429,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,售后工程师,60006294,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,售后工程师,60000221,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,产品经理,60000107,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,产品决策委员会,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,EE浏览者,EE组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,SE组浏览者,SE组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,测试组浏览者,测试组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,工艺组浏览者,工艺组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,结构组浏览者,结构组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,客服组浏览者,客服组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,热管理仿真组浏览者,热管理仿真组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,设备组浏览者,设备组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,线束组浏览者,线束组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,制造组浏览者,制造组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,SCK,质量组浏览者,质量组,,
,,,,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,项目经理,60001942,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,项目助理,60002485,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,市场代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,销售代表,60001989,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,质量代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,产品质量工程师,60000419,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,产品安全工程师,60006879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,可靠性工程师,60006879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,供应商质量管理工程师,,,
